id,usd_official,eur_official,usd_libre,source,timestamp
33,52.03,54.08,0.00,BCV,2025-01-02 08:00:00
34,52.57,54.17,0.00,BCV,2025-01-03 08:00:00
35,53.01,54.50,0.00,BCV,2025-01-07 08:00:00
36,53.07,55.03,0.00,BCV,2025-01-08 08:00:00
37,53.28,54.88,0.00,BCV,2025-01-09 08:00:00
38,53.85,55.52,0.00,BCV,2025-01-10 08:00:00
39,53.88,55.20,0.00,BCV,2025-01-14 08:00:00
40,53.96,55.43,0.00,BCV,2025-01-15 08:00:00
41,54.37,56.11,0.00,BCV,2025-01-16 08:00:00
42,54.76,56.28,0.00,BCV,2025-01-17 08:00:00
43,54.91,56.59,0.00,BCV,2025-01-20 08:00:00
44,54.99,57.32,0.00,BCV,2025-01-21 08:00:00
45,55.30,57.45,0.00,BCV,2025-01-22 08:00:00
46,55.76,58.10,0.00,BCV,2025-01-23 08:00:00
47,56.28,58.59,0.00,BCV,2025-01-24 08:00:00
48,56.65,59.34,0.00,BCV,2025-01-27 08:00:00
49,56.86,59.67,0.00,BCV,2025-01-28 08:00:00
50,57.30,59.80,0.00,BCV,2025-01-29 08:00:00
51,57.39,59.75,0.00,BCV,2025-01-30 08:00:00
52,57.97,60.50,0.00,BCV,2025-01-31 08:00:00
53,58.44,60.63,0.00,BCV,2025-02-03 08:00:00
54,58.54,60.05,0.00,BCV,2025-02-04 08:00:00
55,58.79,61.00,0.00,BCV,2025-02-05 08:00:00
56,59.46,62.01,0.00,BCV,2025-02-06 08:00:00
57,60.14,62.39,0.00,BCV,2025-02-07 08:00:00
58,60.52,62.80,0.00,BCV,2025-02-10 08:00:00
59,60.54,62.43,0.00,BCV,2025-02-11 08:00:00
60,61.03,63.05,0.00,BCV,2025-02-12 08:00:00
61,61.35,63.45,0.00,BCV,2025-02-13 08:00:00
62,61.82,64.31,0.00,BCV,2025-02-14 08:00:00
63,62.07,65.21,0.00,BCV,2025-02-17 08:00:00
64,62.10,65.09,0.00,BCV,2025-02-18 08:00:00
65,62.18,64.99,0.00,BCV,2025-02-19 08:00:00
66,62.51,65.21,0.00,BCV,2025-02-20 08:00:00
67,63.21,66.07,0.00,BCV,2025-02-21 08:00:00
68,63.41,66.38,0.00,BCV,2025-02-24 08:00:00
69,63.49,66.43,0.00,BCV,2025-02-25 08:00:00
